Year,Month,Country,N_visitors
2019,12,Japan,2526387
2020,1,Chile,509059
2020,1,Israel,308500
2020,1,Japan,2661022
2020,2,Chile,399782
2020,2,Israel,343800
2020,2,Japan,1085147
2020,3,Chile,168261
2020,3,Israel,80700
2020,3,Japan,193658
2020,4,Chile,0
2020,4,Israel,600
2020,4,Japan,2917
2020,5,Chile,0
2020,5,Israel,2200
2020,5,Japan,1663
2020,6,Chile,0
2020,6,Israel,5800
2020,6,Japan,2565
2020,7,Chile,0
2020,7,Israel,6000
2020,7,Japan,3782
2020,8,Chile,0
2020,8,Israel,20100
2020,8,Japan,8658
2020,9,Chile,0
2020,9,Israel,15100
2020,9,Japan,13684
2020,10,Chile,0
2020,10,Israel,20300
2020,10,Japan,27386
2020,11,Chile,8732
2020,11,Israel,15000
2020,11,Japan,56673
2020,12,Chile,33260
2020,12,Israel,13300
2020,12,Japan,58673
2021,1,Chile,22378
2021,1,Israel,7500
2021,1,Japan,46522
2021,2,Chile,20491
2021,2,Israel,2600
2021,2,Japan,7355
2021,3,Chile,22744
2021,3,Israel,6700
2021,3,Japan,12276
2021,4,Chile,0
2021,4,Israel,30200
2021,4,Japan,10853
2021,5,Chile,0
2021,5,Israel,21500
2021,5,Japan,10035
2021,6,Chile,0
2021,6,Israel,38500
2021,6,Japan,9251
2021,7,Chile,0
2021,7,Israel,49200
2021,7,Japan,51055
2021,8,Chile,0
2021,8,Israel,52900
2021,8,Japan,25916
2021,9,Chile,0
2021,9,Israel,34500
2021,9,Japan,17720
2021,10,Chile,16351
2021,10,Israel,57000
2021,10,Japan,22113
2021,11,Chile,35944
2021,11,Israel,75600
2021,11,Japan,20682
2021,12,Chile,72114
2021,12,Israel,20500
2021,12,Japan,12084
2022,1,Chile,69735
2022,1,Israel,46200
2022,1,Japan,17766
2022,2,Chile,70275
2022,2,Israel,89900
2022,2,Japan,16719
2022,3,Chile,81230
2022,3,Israel,170700
2022,3,Japan,66121
2022,4,Chile,95731
2022,4,Israel,209900
2022,4,Japan,139548
2022,5,Chile,123335
2022,5,Israel,249200
2022,5,Japan,147046
2022,6,Chile,127118
2022,6,Israel,244500
2022,6,Japan,120430
2022,7,Chile,169642
2022,7,Israel,249900
2022,7,Japan,144578
2022,8,Chile,174068
2022,8,Israel,234400
2022,8,Japan,169902
2022,9,Chile,203519
2022,9,Israel,249800
2022,9,Japan,206641
2022,10,Chile,254828
2022,10,Israel,333500
2022,10,Japan,498646
2022,11,Chile,284050
2022,11,Israel,330700
2022,11,Japan,934599
2022,12,Chile,376948
2022,12,Israel,266200
2022,12,Japan,1370114
2023,1,Chile,477512
2023,1,Israel,257400
2023,1,Japan,1497472
2023,2,Chile,351802
2023,2,Israel,307000
2023,2,Japan,1475455
2023,3,Chile,307706
2023,3,Israel,351900
2023,3,Japan,1817616
2023,4,Chile,268647
2023,4,Israel,355200
2023,4,Japan,1949236
2023,5,Chile,224443
2023,5,Israel,376400
2023,5,Japan,1899176
2023,6,Chile,202720
2023,6,Israel,322900
2023,6,Japan,2073441
2023,7,Chile,267828
2023,7,Israel,270200
2023,7,Japan,2320694
2023,8,Chile,256058
2023,8,Israel,284200
2023,8,Japan,2157190
2023,9,Chile,255732
2023,9,Israel,304100
2023,9,Japan,2184442
2023,10,Chile,330673
2023,10,Israel,89700
2023,10,Japan,2516623
2023,11,Chile,347754
2023,11,Israel,38300
2023,11,Japan,2440890
2023,12,Chile,439632
2023,12,Israel,52800
2023,12,Japan,2734115
2024,1,Chile,506231
2024,1,Israel,58600
2024,1,Japan,2688478
2024,2,Chile,419183
2024,2,Israel,67500
2024,2,Japan,2788224
2024,3,Chile,451176
2024,3,Israel,78600
2024,3,Japan,3081781
2024,4,Chile,395615
2024,4,Israel,80100
2024,4,Japan,3042900
2024,5,Chile,335372
2024,5,Israel,114000
2024,5,Japan,3040100
2010,1,Croatia,41766
2010,1,Romania,66422
2010,1,Saudi Arabia,566273
2010,2,Croatia,56191
2010,2,Romania,69296
2010,2,Saudi Arabia,768984
2010,3,Croatia,122263
2010,3,Romania,87761
2010,3,Saudi Arabia,658233
2010,4,Croatia,350252
2010,4,Romania,94560
2010,4,Saudi Arabia,1023463
2010,5,Croatia,680273
2010,5,Romania,139000
2010,5,Saudi Arabia,610640
2010,6,Croatia,1144083
2010,6,Romania,138543
2010,6,Saudi Arabia,732885
2010,7,Croatia,2495882
2010,7,Romania,144090
2010,7,Saudi Arabia,984726
2010,8,Croatia,2603188
2010,8,Romania,152785
2010,8,Saudi Arabia,1185018
2010,9,Croatia,974355
2010,9,Romania,153053
2010,9,Saudi Arabia,1136120
2010,10,Croatia,329234
2010,10,Romania,126478
2010,10,Saudi Arabia,405043
2010,11,Croatia,96937
2010,11,Romania,100029
2010,11,Saudi Arabia,2327726
2010,12,Croatia,72744
2010,12,Romania,71061
2010,12,Saudi Arabia,451207
2011,1,Croatia,46472
2011,1,Romania,74709
2011,1,Saudi Arabia,564603
2011,2,Croatia,61774
2011,2,Romania,75951
2011,2,Saudi Arabia,1078513
2011,3,Croatia,109743
2011,3,Romania,95566
2011,3,Saudi Arabia,1178753
2011,4,Croatia,448125
2011,4,Romania,109119
2011,4,Saudi Arabia,1579847
2011,5,Croatia,614185
2011,5,Romania,146421
2011,5,Saudi Arabia,1139957
2011,6,Croatia,1392290
2011,6,Romania,157167
2011,6,Saudi Arabia,1254307
2011,7,Croatia,2630771
2011,7,Romania,166709
2011,7,Saudi Arabia,1488269
2011,8,Croatia,2714929
2011,8,Romania,181333
2011,8,Saudi Arabia,1518739
2011,9,Croatia,1153206
2011,9,Romania,170291
2011,9,Saudi Arabia,600486
2011,10,Croatia,373789
2011,10,Romania,139660
2011,10,Saudi Arabia,547815
2011,11,Croatia,99882
2011,11,Romania,111000
2011,11,Saudi Arabia,2472930
2011,12,Croatia,77682
2011,12,Romania,86855
2011,12,Saudi Arabia,754465
2012,1,Croatia,53980
2012,1,Romania,82610
2012,1,Saudi Arabia,957244
2012,2,Croatia,58216
